,V2,protrade,countries
40,858,0.072,Uruguay
41,862,0.11166666666666666,Venezuela
5,76,0.13035870516185477,Brazil
1,32,0.13253012048192772,Argentina
22,484,0.152317880794702,Mexico
27,604,0.152766308835673,Peru
17,356,0.16666666666666666,India
3,50,0.1855737704918033,Bangladesh
37,792,0.18982695332983743,Turkey
26,586,0.19508867667121418,Pakistan
30,630,0.20446735395189003,Puerto Rico
9,156,0.206,China
8,152,0.217,Chile
2,36,0.228515625,Australia
29,616,0.23503902862098872,Poland
12,214,0.2565947242206235,Spain
39,840,0.25680933852140075,Philippines
34,724,0.26011560693641617,USA
32,705,0.2810327706057597,Russia
28,608,0.2833333333333333,Lithuania
21,440,0.28642220019821607,Slovenia
31,643,0.3034313725490196,Moldova
23,498,0.3130081300813008,S. Africa
33,710,0.34378194207836454,S. Korea
19,410,0.3482786228983187,Bulgaria
6,100,0.3516791044776119,Switzerland
36,756,0.36386138613861385,Germany
14,246,0.3850050658561297,Sweden
35,752,0.41427155599603566,Estonia
13,233,0.4250734573947111,Taiwan ROC
11,191,0.43478260869565216,Croatia
16,276,0.45409674234945707,Macedonia
20,428,0.4583333333333333,
25,578,0.46850044365572313,Norway
42,911,0.4921875,Serbia
24,566,0.49749498997995995,Nigeria
4,51,0.5075,Armenia
38,804,0.5240128068303095,Ukraine
0,31,0.527972027972028,Azerbaijan
7,112,0.5377629063097514,Belarus
43,912,0.5708333333333333,Montenegro
15,268,0.575199203187251,Georgia
18,392,0.6347248576850095,Japan
10,170,1.0,
